Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
GP3D_CHLMU	PYRH_CHLMU	PYRH_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|6	7	2	0.59	0.28|0.86	0|0|0|0	0.5690	0.8590	0.2146
GP3D_CHLMU	WIPI3_HUMAN	WIPI3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|11	16	2	0.87	0.76|0.99	1|0|0|3	0.8770	0.9910	0.0543
GP3D_CHLMU	FOLC_HUMAN	FOLC_HUMAN	TCA04_2_SPC|TCA04_3_SPC	7|0	7	2	0.46	0.90|0.00	0|0|0|0	0.4515	0.9030	0.4116
GP3D_CHLMU	ES8L2_HUMAN	ES8L2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|4	7	2	0.89	0.86|0.92	0|0|0|0	0.8895	0.9190	0.0457
GP3D_CHLMU	TET5A_HUMAN	TET5A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|4	7	2	0.91	0.89|0.92	0|0|0|0	0.9065	0.9220	0.0364
GP3D_CHLMU	TYW4_HUMAN	TYW4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|6	7	2	0.51	0.16|0.83	0|0|0|0	0.4970	0.8340	0.3130
GP3D_CHLMU	PFKAP_HUMAN	PFKAP_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|7	9	2	0.68	0.41|0.96	0|1|0|0	0.6835	0.9570	0.1389
GP3D_CHLMU	DNAA1_CHLMU	DNAA1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|6	9	2	0.84	0.72|0.96	0|0|0|1	0.8400	0.9600	0.0795
GP3D_CHLMU	TGDS_HUMAN	TGDS_HUMAN	TCA04_2_SPC|TCA04_3_SPC	10|22	32	2	0.79	0.61|1.00	0|8|1|4	0.8040	0.9970	0.1062
GP3D_CHLMU	GANP_HUMAN	GANP_HUMAN	TCA04_2_SPC|TCA04_3_SPC	6|2	8	2	0.59	0.94|0.22	1|0|0|0	0.5805	0.9380	0.2068
GP3D_CHLMU	TASOR_HUMAN	TASOR_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|1	6	2	0.33	0.55|0.08	0|0|0|0	0.3140	0.5520	0.5275
GP3D_CHLMU	ACADS_HUMAN	ACADS_HUMAN	TCA04_2_SPC|TCA04_3_SPC	22|0	22	2	0.53	1.00|0.00	4|0|4|0	0.5000	1.0000	0.2782
GP3D_CHLMU	TRIM3_HUMAN	TRIM3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|5	8	2	0.83	0.73|0.92	0|1|0|0	0.8245	0.9220	0.0869
GP3D_CHLMU	RPOA_CHLMU	RPOA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	4|2	6	2	0.77	0.87|0.61	0|0|0|0	0.7420	0.8700	0.1210
GP3D_CHLMU	MET_HUMAN	MET_HUMAN	TCA04_2_SPC|TCA04_3_SPC	10|0	10	2	0.51	0.99|0.00	0|0|2|0	0.4970	0.9940	0.3210
GP3D_CHLMU	NIT1_HUMAN	NIT1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|13	13	2	0.47	0.00|0.99	0|2|0|2	0.4970	0.9940	0.3210
GP3D_CHLMU	UB2L6_HUMAN	UB2L6_HUMAN	TCA04_2_SPC|TCA04_3_SPC	22|36	58	2	0.97	0.95|1.00	3|13|3|9	0.9760	1.0000	0.0118
GP3D_CHLMU	PTAR1_HUMAN	PTAR1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|11	11	2	0.50	0.00|1.00	0|2|0|1	0.4975	0.9950	0.3086
GP3D_CHLMU	LPXD_CHLMU	LPXD_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|16	22	2	0.62	0.24|0.99	1|5|1|2	0.6145	0.9890	0.1727
GP3D_CHLMU	PPCEL_HUMAN	PPCEL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|19	20	2	0.51	0.00|1.00	0|0|2|6	0.4985	0.9970	0.2945
GP3D_CHLMU	DCA16_HUMAN	DCA16_HUMAN	TCA04_2_SPC|TCA04_3_SPC	15|32	47	2	0.67	0.37|0.98	1|8|0|14	0.6745	0.9820	0.1478
GP3D_CHLMU	PQQCL_CHLMU	PQQCL_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|1	7	2	0.52	0.90|0.11	0|0|1|0	0.5005	0.8950	0.2722
GP3D_CHLMU	RTRAF_HUMAN	RTRAF_HUMAN	TCA04_2_SPC|TCA04_3_SPC	13|19	32	2	0.68	0.51|0.84	1|6|3|5	0.6735	0.8350	0.1559
GP3D_CHLMU	ACCA_CHLMU	ACCA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	19|14	33	2	0.67	0.88|0.47	5|5|1|5	0.6720	0.8750	0.1634
GP3D_CHLMU	PFKAL_HUMAN	PFKAL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|5	5	2	0.30	0.00|0.67	0|0|0|0	0.3340	0.6680	0.5132
GP3D_CHLMU	TRI18_HUMAN	TRI18_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|4	5	2	0.48	0.19|0.77	0|0|0|0	0.4790	0.7730	0.3713
GP3D_CHLMU	NNMT_HUMAN	NNMT_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|0	5	2	0.43	0.88|0.00	0|0|0|0	0.4395	0.8790	0.4211
GP3D_CHLMU	SDHA_HUMAN	SDHA_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|4	5	2	0.46	0.16|0.74	0|0|0|0	0.4505	0.7420	0.4132
GP3D_CHLMU	NADE_HUMAN	NADE_HUMAN	TCA04_2_SPC|TCA04_3_SPC	26|0	26	2	0.50	1.00|0.00	5|0|6|1	0.4995	0.9990	0.2839
GP3D_CHLMU	P34955	P34955	TCA04_2_SPC|TCA04_3_SPC	5|0	5	2	0.39	0.83|0.00	0|0|0|0	0.4160	0.8320	0.4353
GP3D_CHLMU	CBSL_HUMAN	CBSL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|5	5	2	0.36	0.00|0.72	0|0|0|0	0.3600	0.7200	0.4826
GP3D_CHLMU	PTPRM_HUMAN	PTPRM_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|4	5	2	0.31	0.09|0.53	0|0|0|0	0.3110	0.5300	0.5293
GP3D_CHLMU	MYD88_HUMAN	MYD88_HUMAN	TCA04_2_SPC|TCA04_3_SPC	10|14	24	2	0.85	0.79|0.92	0|6|0|5	0.8530	0.9180	0.0635
GP3D_CHLMU	CDYL2_HUMAN	CDYL2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|6	10	2	0.71	0.59|0.84	1|1|0|1	0.7165	0.8410	0.1296
GP3D_CHLMU	BTBD3_HUMAN	BTBD3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	37|79	116	2	0.49	0.00|0.99	13|26|9|17	0.4965	0.9920	0.3248
GP3D_CHLMU	NEMO_HUMAN	NEMO_HUMAN	TCA04_2_SPC|TCA04_3_SPC	8|0	8	2	0.50	0.99|0.00	1|0|0|1	0.4925	0.9850	0.3478
GP3D_CHLMU	SYG_CHLMU	SYG_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|7	8	2	0.48	0.04|0.90	0|0|1|1	0.4705	0.9040	0.3865
GP3D_CHLMU	IGKC_HUMAN	IGKC_HUMAN	TCA04_2_SPC|TCA04_3_SPC	7|11	18	2	0.78	0.63|0.92	2|1|3|2	0.7785	0.9230	0.1130
GP3D_CHLMU	GUAD_HUMAN	GUAD_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|6	6	2	0.50	0.00|0.96	0|0|0|1	0.4775	0.9550	0.3759
GP3D_CHLMU	KYNU_HUMAN	KYNU_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|1	6	2	0.47	0.89|0.08	1|0|0|0	0.4860	0.8940	0.3640
GP3D_CHLMU	SMUF2_HUMAN	SMUF2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|6	6	2	0.46	0.00|0.91	0|0|0|1	0.4560	0.9120	0.4066
GP3D_CHLMU	TRI14_HUMAN	TRI14_HUMAN	TCA04_2_SPC|TCA04_3_SPC	6|0	6	2	0.47	0.96|0.00	0|0|1|0	0.4795	0.9590	0.3690
GP3D_CHLMU	FABZ_CHLMU	FABZ_CHLMU	TCA04_2_SPC|TCA04_3_SPC	17|0	17	2	0.50	1.00|0.00	3|0|5|0	0.4990	0.9980	0.2893
GP3D_CHLMU	Y311_CHLMU	Y311_CHLMU	TCA04_2_SPC|TCA04_3_SPC	11|6	17	2	0.59	0.97|0.21	1|0|5|2	0.5900	0.9690	0.1907
GP3D_CHLMU	IRF3_HUMAN	IRF3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	8|4	12	2	0.58	0.90|0.29	0|0|1|4	0.5945	0.8980	0.1820
GP3D_CHLMU	EFG_CHLMU	EFG_CHLMU	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.37	0.79|0.00	0|0|0|0	0.3935	0.7870	0.4562
GP3D_CHLMU	MTL26_HUMAN	MTL26_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.39	0.80|0.00	0|0|0|0	0.3975	0.7950	0.4509
GP3D_CHLMU	TIRR_HUMAN	TIRR_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|1	4	2	0.53	0.75|0.27	0|0|0|0	0.5115	0.7540	0.2594
GP3D_CHLMU	GARS_HUMAN	GARS_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|3	4	2	0.39	0.16|0.59	0|0|0|0	0.3785	0.5930	0.4678
GP3D_CHLMU	PGTB2_HUMAN	PGTB2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	7|0	7	2	0.48	0.94|0.00	1|0|1|0	0.4685	0.9370	0.3924
GP3D_CHLMU	P02668	P02668	TCA04_2_SPC|TCA04_3_SPC	1|3	4	2	0.54	0.32|0.75	0|0|0|0	0.5330	0.7460	0.2308
GP3D_CHLMU	KCTD7_HUMAN	KCTD7_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.42	0.00|0.79	0|0|0|0	0.3960	0.7920	0.4549
GP3D_CHLMU	OAS1_HUMAN	OAS1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.39	0.00|0.78	0|0|0|0	0.3910	0.7820	0.4575
GP3D_CHLMU	P02662	P02662	TCA04_2_SPC|TCA04_3_SPC	19|6	25	2	0.52	0.99|0.00	3|0|8|3	0.4980	0.9930	0.3041
GP3D_CHLMU	HEM2_CHLMU	HEM2_CHLMU	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.41	0.83|0.00	0|0|0|0	0.4170	0.8340	0.4338
GP3D_CHLMU	MOC2B_HUMAN	MOC2B_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.39	0.82|0.00	0|0|0|0	0.4085	0.8170	0.4425
GP3D_CHLMU	ZBTB1_HUMAN	ZBTB1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|3	4	2	0.38	0.17|0.60	0|0|0|0	0.3800	0.5950	0.4665
GP3D_CHLMU	DEGPL_CHLMU	DEGPL_CHLMU	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.31	0.00|0.67	0|0|0|0	0.3345	0.6690	0.5123
GP3D_CHLMU	HS71B_HUMAN	HS71B_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.36	0.00|0.69	0|0|0|0	0.3450	0.6900	0.5037
GP3D_CHLMU	Q0IIK2	Q0IIK2	TCA04_2_SPC|TCA04_3_SPC	3|1	4	2	0.38	0.58|0.14	0|0|0|0	0.3575	0.5770	0.4871
GP3D_CHLMU	KBTB4_HUMAN	KBTB4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	12|23	35	2	0.48	0.06|0.87	3|6|2|10	0.4670	0.8710	0.3943
GP3D_CHLMU	OAS2_HUMAN	OAS2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	21|21	42	2	0.51	0.72|0.33	7|6|7|6	0.5250	0.7200	0.2384
GP3D_CHLMU	INP5K_HUMAN	INP5K_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|27	30	2	0.46	0.00|0.99	0|11|0|7	0.4950	0.9900	0.3418
GP3D_CHLMU	RS7_CHLMU	RS7_CHLMU	TCA04_2_SPC|TCA04_3_SPC	10|4	14	2	0.53	0.95|0.10	2|0|4|1	0.5225	0.9480	0.2457
GP3D_CHLMU	FUK_HUMAN	FUK_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|9	11	2	0.43	0.03|0.81	1|3|1|0	0.4185	0.8080	0.4291
GP3D_CHLMU	Y679_CHLMU	Y679_CHLMU	TCA04_2_SPC|TCA04_3_SPC	10|1	11	2	0.48	0.99|0.00	1|0|4|0	0.4950	0.9860	0.3418
GP3D_CHLMU	GAL3A_HUMAN	GAL3A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	14|7	21	2	0.47	0.91|0.06	5|0|5|2	0.4860	0.9110	0.3640
GP3D_CHLMU	H90B4_HUMAN	H90B4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|6	8	2	0.48	0.14|0.80	0|1|0|2	0.4695	0.7960	0.3885
GP3D_CHLMU	MURA_CHLMU	MURA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	5|10	15	2	0.44	0.18|0.69	0|4|1|3	0.4350	0.6880	0.4227
GP3D_CHLMU	Q2UVX4	Q2UVX4	TCA04_2_SPC|TCA04_3_SPC	5|0	5	2	0.49	0.92|0.00	1|0|0|0	0.4620	0.9240	0.3997
GP3D_CHLMU	RS3_CHLMU	RS3_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|6	9	2	0.53	0.31|0.72	0|1|1|2	0.5180	0.7230	0.2526
GP3D_CHLMU	Q1RMN8	Q1RMN8	TCA04_2_SPC|TCA04_3_SPC	1|8	9	2	0.47	0.01|0.93	0|2|0|2	0.4690	0.9280	0.3905
GP3D_CHLMU	DHB8_HUMAN	DHB8_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|10	13	2	0.41	0.02|0.82	0|3|2|2	0.4195	0.8150	0.4275
GP3D_CHLMU	SDHB_HUMAN	SDHB_HUMAN	TCA04_2_SPC|TCA04_3_SPC	24|8	32	2	0.49	0.99|0.00	9|2|9|1	0.4930	0.9860	0.3449
GP3D_CHLMU	KCTD6_HUMAN	KCTD6_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|15	17	2	0.44	0.00|0.94	0|5|2|3	0.4705	0.9410	0.3865
GP3D_CHLMU	P02769	P02769	TCA04_2_SPC|TCA04_3_SPC	19|6	25	2	0.50	0.97|0.00	4|0|8|4	0.4860	0.9720	0.3640
GP3D_CHLMU	GLGB_CHLMU	GLGB_CHLMU	TCA04_2_SPC|TCA04_3_SPC	23|18	41	2	0.41	0.77|0.04	5|9|6|8	0.4045	0.7740	0.4468
GP3D_CHLMU	CBR4_HUMAN	CBR4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|2	6	2	0.56	0.76|0.31	0|0|0|2	0.5350	0.7640	0.2229
GP3D_CHLMU	GUAA_CHLMU	GUAA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|0	6	2	0.44	0.92|0.00	0|0|2|0	0.4590	0.9180	0.4049
GP3D_CHLMU	PLS1_HUMAN	PLS1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|10	10	2	0.46	0.00|0.92	0|3|0|2	0.4615	0.9230	0.4015
GP3D_CHLMU	P02768-1	P02768-1	TCA04_2_SPC|TCA04_3_SPC	4|2	6	2	0.48	0.72|0.25	1|1|0|0	0.4860	0.7240	0.3640
GP3D_CHLMU	FOLKP_CHLMU	FOLKP_CHLMU	TCA04_2_SPC|TCA04_3_SPC	8|3	11	2	0.44	0.86|0.04	2|0|3|1	0.4515	0.8610	0.4116
GP3D_CHLMU	RACK1_HUMAN	RACK1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|18	20	2	0.47	0.00|0.94	0|7|0|6	0.4720	0.9440	0.3824
GP3D_CHLMU	BIP_HUMAN	BIP_HUMAN	TCA04_2_SPC|TCA04_3_SPC	32|65	97	2	0.19	0.00|0.38	6|28|11|30	0.1915	0.3830	0.5876
GP3D_CHLMU	Q6NXH9	Q6NXH9	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.27	0.00|0.56	0|0|0|0	0.2775	0.5550	0.5441
GP3D_CHLMU	P00761	P00761	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.36	0.00|0.72	0|0|0|0	0.3585	0.7170	0.4860
GP3D_CHLMU	P12763	P12763	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.37	0.74|0.00	0|0|0|0	0.3720	0.7440	0.4703
GP3D_CHLMU	NACAM_HUMAN	NACAM_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.10	0.20|0.00	0|0|0|0	0.1000	0.2000	0.6289
GP3D_CHLMU	RPOC_CHLMU	RPOC_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.21	0.40|0.00	0|0|0|0	0.1975	0.3950	0.5822
GP3D_CHLMU	EFTU_CHLMU	EFTU_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.37	0.73|0.00	0|0|0|0	0.3635	0.7270	0.4766
GP3D_CHLMU	GLYA_CHLMU	GLYA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|5	8	2	0.42	0.24|0.58	0|2|0|2	0.4110	0.5830	0.4397
GP3D_CHLMU	RCBT1_HUMAN	RCBT1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.34	0.69|0.00	0|0|0|0	0.3460	0.6920	0.5017
GP3D_CHLMU	OMCB_CHLMU	OMCB_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.31	0.66|0.00	0|0|0|0	0.3310	0.6620	0.5168
GP3D_CHLMU	Y873_CHLMU	Y873_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.39	0.77|0.00	0|0|0|0	0.3840	0.7680	0.4628
GP3D_CHLMU	ALF1_CHLMU	ALF1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.36	0.72|0.00	0|0|0|0	0.3590	0.7180	0.4849
GP3D_CHLMU	RPOB_CHLMU	RPOB_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.24	0.47|0.00	0|0|0|0	0.2345	0.4690	0.5634
GP3D_CHLMU	IGG1_HUMAN	IGG1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.32	0.00|0.65	0|0|0|0	0.3270	0.6540	0.5195
GP3D_CHLMU	MSRA_HUMAN	MSRA_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.34	0.73|0.00	0|0|0|0	0.3645	0.7290	0.4753
GP3D_CHLMU	FRIH_HUMAN	FRIH_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.37	0.70|0.00	0|0|0|0	0.3480	0.6960	0.4997
GP3D_CHLMU	Q28194	Q28194	TCA04_2_SPC|TCA04_3_SPC	13|0	13	2	0.52	0.99|0.00	3|0|5|0	0.4950	0.9900	0.3418
GP3D_CHLMU	MOMPM_CHLMU	MOMPM_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.34	0.64|0.00	0|0|0|0	0.3215	0.6430	0.5222
GP3D_CHLMU	RL1_CHLMU	RL1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.34	0.00|0.67	0|0|0|0	0.3365	0.6730	0.5104
GP3D_CHLMU	KCTD9_HUMAN	KCTD9_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.31	0.64|0.00	0|0|0|0	0.3210	0.6420	0.5231
GP3D_CHLMU	HSP7C_HUMAN	HSP7C_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.34	0.65|0.00	0|0|0|0	0.3235	0.6470	0.5213
GP3D_CHLMU	K2C1_HUMAN	K2C1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.29	0.00|0.60	0|0|0|0	0.2980	0.5960	0.5379
GP3D_CHLMU	TBB5_HUMAN	TBB5_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.33	0.71|0.00	0|0|0|0	0.3570	0.7140	0.4904
GP3D_CHLMU	TBA4A_HUMAN	TBA4A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	9|10	19	2	0.23	0.24|0.23	1|3|3|6	0.2375	0.2440	0.5616
GP3D_CHLMU	ACTB_HUMAN	ACTB_HUMAN	TCA04_2_SPC|TCA04_3_SPC	9|6	15	2	0.34	0.56|0.07	3|3|3|1	0.3175	0.5630	0.5249
GP3D_CHLMU	K22E_HUMAN	K22E_HUMAN	TCA04_2_SPC|TCA04_3_SPC	8|13	21	2	0.20	0.03|0.37	2|5|5|3	0.2010	0.3690	0.5813
GP3D_CHLMU	K1C10_HUMAN	K1C10_HUMAN	TCA04_2_SPC|TCA04_3_SPC	105|169	274	2	0.00	0.00|0.00	46|62|41|75	0.0000	0.0000	0.9294
GP3D_CHLMU	EF1A1_HUMAN	EF1A1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|20	22	2	0.49	0.00|0.93	0|9|0|7	0.4625	0.9250	0.3980
GP3D_CHLMU	K1C9_HUMAN	K1C9_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.43	0.00|0.81	0|1|0|0	0.4030	0.8060	0.4495
GP3D_CHLMU	GRP75_HUMAN	GRP75_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|6	10	2	0.30	0.20|0.40	0|3|0|3	0.2990	0.4000	0.5354
GP3D_CHLMU	HNRPK_HUMAN	HNRPK_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|2	4	2	0.48	0.51|0.44	0|1|0|0	0.4770	0.5130	0.3781
GP3D_CHLMU	HNRPU_HUMAN	HNRPU_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.40	0.79|0.00	0|0|1|0	0.3965	0.7930	0.4536
GP3D_CHLMU	HS90B_HUMAN	HS90B_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|3	4	2	0.42	0.13|0.68	0|1|0|0	0.4050	0.6760	0.4454
GP3D_CHLMU	H2A1D_HUMAN	H2A1D_HUMAN	TCA04_2_SPC|TCA04_3_SPC	11|30	41	2	0.29	0.00|0.60	3|14|2|13	0.3000	0.6000	0.5336
GP3D_CHLMU	ROA1_HUMAN	ROA1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	29|0	29	2	0.50	1.00|0.00	8|0|14|0	0.4980	0.9960	0.3041
GP3D_CHLMU	RS3_HUMAN	RS3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	15|9	24	2	0.34	0.66|0.00	2|1|11|4	0.3310	0.6580	0.5168
GP3D_CHLMU	HNRH1_HUMAN	HNRH1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	43|36	79	2	0.01	0.03|0.00	14|10|19|22	0.0150	0.0300	0.6917
GP3D_CHLMU	ROA2_HUMAN	ROA2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|25	26	2	0.45	0.00|0.90	0|6|0|14	0.4520	0.9040	0.4083
GP3D_CHLMU	NUCL_HUMAN	NUCL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|0	5	2	0.43	0.86|0.00	1|0|1|0	0.4275	0.8550	0.4243
GP3D_CHLMU	VIME_HUMAN	VIME_HUMAN	TCA04_2_SPC|TCA04_3_SPC	19|49	68	2	0.14	0.00|0.28	2|26|6|22	0.1415	0.2830	0.6086
GP3D_CHLMU	PRDX1_HUMAN	PRDX1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	12|0	12	2	0.53	0.98|0.00	2|0|5|1	0.4900	0.9800	0.3535
GP3D_CHLMU	NPM_HUMAN	NPM_HUMAN	TCA04_2_SPC|TCA04_3_SPC	15|33	48	2	0.09	0.00|0.17	5|16|6|12	0.0870	0.1740	0.6372
GP3D_CHLMU	KPYM_HUMAN	KPYM_HUMAN	TCA04_2_SPC|TCA04_3_SPC	14|6	20	2	0.36	0.72|0.00	3|4|2|6	0.3610	0.7210	0.4802
GP3D_CHLMU	RS27A_HUMAN	RS27A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	13|15	28	2	0.07	0.06|0.08	5|4|6|7	0.0700	0.0840	0.6463
GP3D_CHLMU	G3P_HUMAN	G3P_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|5	6	2	0.40	0.05|0.76	0|2|0|1	0.4070	0.7620	0.4440
GP3D_CHLMU	DDX5_HUMAN	DDX5_HUMAN	TCA04_2_SPC|TCA04_3_SPC	13|1	14	2	0.50	0.95|0.00	6|0|4|0	0.4745	0.9490	0.3803
GP3D_CHLMU	DDX17_HUMAN	DDX17_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|9	14	2	0.28	0.05|0.52	2|4|0|4	0.2885	0.5240	0.5414
